산출기준,연도,질환구분,성별,연령,등록건수
신규등록자,2016,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,5~9,892
신규등록자,2016,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,10~14,721
신규등록자,2016,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,15~19,1093
신규등록자,2016,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,20~24,1035
신규등록자,2016,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,25~29,674
신규등록자,2016,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,30~34,712
신규등록자,2016,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,35~39,779
신규등록자,2016,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,40~44,857
신규등록자,2016,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,45~49,955
신규등록자,2016,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,50~54,1085
신규등록자,2016,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,55~59,1328
신규등록자,2016,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,60~64,1382
신규등록자,2016,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,65~69,1273
신규등록자,2016,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,70~74,1214
신규등록자,2016,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,75~79,1043
신규등록자,2016,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,80~84,607
신규등록자,2016,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,85~89,201
신규등록자,2016,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,90~94,53
신규등록자,2016,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,95~99,10
신규등록자,2016,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,100 이상,1
신규등록자,2016,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,0~4,1499
신규등록자,2016,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,5~9,638
신규등록자,2016,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,10~14,524
신규등록자,2016,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,15~19,644
신규등록자,2016,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,20~24,675
신규등록자,2016,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,25~29,693
신규등록자,2016,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,30~34,744
신규등록자,2016,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,35~39,824
신규등록자,2016,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,40~44,871
신규등록자,2016,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,45~49,1167
신규등록자,2016,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,50~54,1417
신규등록자,2016,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,55~59,1623
신규등록자,2016,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,60~64,1396
신규등록자,2016,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,65~69,1109
신규등록자,2016,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,70~74,1100
신규등록자,2016,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,75~79,1035
신규등록자,2016,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,80~84,656
신규등록자,2016,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,85~89,292
신규등록자,2016,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,90~94,90
신규등록자,2016,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,95~99,13
신규등록자,2016,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,100 이상,2
신규등록자,2017,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,0~4,1380
신규등록자,2017,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,5~9,537
신규등록자,2017,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,10~14,485
신규등록자,2017,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,15~19,748
신규등록자,2017,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,20~24,692
신규등록자,2017,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,25~29,598
신규등록자,2017,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,30~34,692
신규등록자,2017,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,35~39,821
신규등록자,2017,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,40~44,854
신규등록자,2017,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,45~49,1055
신규등록자,2017,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,50~54,1091
신규등록자,2017,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,55~59,1438
신규등록자,2017,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,60~64,1457
신규등록자,2017,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,65~69,1258
신규등록자,2017,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,70~74,1242
신규등록자,2017,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,75~79,1191
신규등록자,2017,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,80~84,705
신규등록자,2017,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,85~89,240
신규등록자,2017,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,90~94,45
신규등록자,2017,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,95~99,9
신규등록자,2017,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,100 이상,0
신규등록자,2017,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,0~4,1128
신규등록자,2017,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,5~9,445
신규등록자,2017,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,10~14,359
신규등록자,2017,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,15~19,454
신규등록자,2017,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,20~24,562
신규등록자,2017,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,25~29,646
신규등록자,2017,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,30~34,617
신규등록자,2017,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,35~39,801
신규등록자,2017,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,40~44,910
신규등록자,2017,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,45~49,1132
신규등록자,2017,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,50~54,1265
신규등록자,2017,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,55~59,1602
신규등록자,2017,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,60~64,1415
신규등록자,2017,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,65~69,1174
신규등록자,2017,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,70~74,1080
신규등록자,2017,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,75~79,1109
신규등록자,2017,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,80~84,723
신규등록자,2017,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,85~89,324
신규등록자,2017,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,90~94,90
신규등록자,2017,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,95~99,19
신규등록자,2017,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,100 이상,1
신규등록자,2018,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,0~4,1274
신규등록자,2018,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,5~9,446
신규등록자,2018,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,10~14,381
신규등록자,2018,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,15~19,690
신규등록자,2018,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,20~24,679
신규등록자,2018,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,25~29,618
신규등록자,2018,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,30~34,638
신규등록자,2018,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,35~39,879
신규등록자,2018,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,40~44,822
신규등록자,2018,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,45~49,1022
신규등록자,2018,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,50~54,1117
신규등록자,2018,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,55~59,1452
신규등록자,2018,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,60~64,1708
신규등록자,2018,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,65~69,1414
신규등록자,2018,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,70~74,1391
신규등록자,2018,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,75~79,1315
신규등록자,2018,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,80~84,757
신규등록자,2018,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,85~89,242
신규등록자,2018,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,90~94,44
신규등록자,2018,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,95~99,11
신규등록자,2018,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,100 이상,0
신규등록자,2018,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,0~4,1076
신규등록자,2018,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,5~9,436
신규등록자,2018,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,10~14,290
신규등록자,2018,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,15~19,414
신규등록자,2018,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,20~24,544
신규등록자,2018,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,25~29,619
신규등록자,2018,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,30~34,578
신규등록자,2018,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,35~39,869
신규등록자,2018,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,40~44,826
신규등록자,2018,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,45~49,1169
신규등록자,2018,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,50~54,1375
신규등록자,2018,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,55~59,1636
신규등록자,2018,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,60~64,1550
신규등록자,2018,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,65~69,1204
신규등록자,2018,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,70~74,1105
신규등록자,2018,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,75~79,1221
신규등록자,2018,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,80~84,806
신규등록자,2018,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,85~89,354
신규등록자,2018,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,90~94,87
신규등록자,2018,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,95~99,19
신규등록자,2018,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,100 이상,4
신규등록자,2019,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,0~4,1464
신규등록자,2019,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,5~9,679
신규등록자,2019,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,10~14,690
신규등록자,2019,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,15~19,1168
신규등록자,2019,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,20~24,1349
신규등록자,2019,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,25~29,1499
신규등록자,2019,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,30~34,1369
신규등록자,2019,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,35~39,1572
신규등록자,2019,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,40~44,1358
신규등록자,2019,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,45~49,1534
신규등록자,2019,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,50~54,1515
신규등록자,2019,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,55~59,1720
신규등록자,2019,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,60~64,1972
신규등록자,2019,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,65~69,1832
신규등록자,2019,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,70~74,1749
신규등록자,2019,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,75~79,1629
신규등록자,2019,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,80~84,997
신규등록자,2019,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,85~89,389
신규등록자,2019,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,90~94,86
신규등록자,2019,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,95~99,8
신규등록자,2019,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,100 이상,1
신규등록자,2019,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,0~4,1261
신규등록자,2019,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,5~9,587
신규등록자,2019,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,10~14,502
신규등록자,2019,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,15~19,769
신규등록자,2019,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,20~24,1015
신규등록자,2019,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,25~29,1275
신규등록자,2019,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,30~34,1414
신규등록자,2019,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,35~39,1903
신규등록자,2019,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,40~44,1947
신규등록자,2019,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,45~49,2409
신규등록자,2019,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,50~54,2455
신규등록자,2019,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,55~59,2724
신규등록자,2019,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,60~64,2672
신규등록자,2019,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,65~69,2001
신규등록자,2019,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,70~74,1648
신규등록자,2019,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,75~79,1487
신규등록자,2019,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,80~84,1006
신규등록자,2019,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,85~89,475
신규등록자,2019,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,90~94,124
신규등록자,2019,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,95~99,21
신규등록자,2019,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,100 이상,2
신규등록자,2020,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,0~4,1374
신규등록자,2020,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,5~9,647
신규등록자,2020,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,10~14,664
신규등록자,2020,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,15~19,1111
신규등록자,2020,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,20~24,1235
신규등록자,2020,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,25~29,1407
신규등록자,2020,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,30~34,1210
신규등록자,2020,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,35~39,1299
신규등록자,2020,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,40~44,1294
신규등록자,2020,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,45~49,1382
신규등록자,2020,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,50~54,1490
신규등록자,2020,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,55~59,1743
신규등록자,2020,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,60~64,2103
신규등록자,2020,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,65~69,2177
신규등록자,2020,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,70~74,1898
신규등록자,2020,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,75~79,1605
신규등록자,2020,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,80~84,1019
신규등록자,2020,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,85~89,380
신규등록자,2020,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,90~94,87
신규등록자,2020,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,95~99,11
신규등록자,2020,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,100 이상,1
신규등록자,2020,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,0~4,1178
신규등록자,2020,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,5~9,565
신규등록자,2020,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,10~14,535
신규등록자,2020,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,15~19,740
신규등록자,2020,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,20~24,1049
신규등록자,2020,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,25~29,1299
신규등록자,2020,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,30~34,1278
신규등록자,2020,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,35~39,1536
신규등록자,2020,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,40~44,1616
신규등록자,2020,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,45~49,2002
신규등록자,2020,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,50~54,2233
신규등록자,2020,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,55~59,2340
신규등록자,2020,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,60~64,2604
신규등록자,2020,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,65~69,2004
신규등록자,2020,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,70~74,1685
신규등록자,2020,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,75~79,1421
신규등록자,2020,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,80~84,1091
신규등록자,2020,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,85~89,467
신규등록자,2020,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,90~94,167
신규등록자,2020,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,95~99,19
신규등록자,2020,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,100 이상,5
신규등록자,2021,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,0~4,1465
신규등록자,2021,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,5~9,783
신규등록자,2021,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,10~14,867
신규등록자,2021,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,15~19,1244
신규등록자,2021,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,20~24,1451
신규등록자,2021,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,25~29,1530
신규등록자,2021,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,30~34,1277
신규등록자,2021,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,35~39,1347
신규등록자,2021,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,40~44,1330
신규등록자,2021,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,45~49,1361
신규등록자,2021,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,50~54,1560
신규등록자,2021,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,55~59,1770
신규등록자,2021,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,60~64,2271
신규등록자,2021,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,65~69,2354
신규등록자,2021,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,70~74,2081
신규등록자,2021,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,75~79,1778
신규등록자,2021,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,80~84,1254
신규등록자,2021,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,85~89,471
신규등록자,2021,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,90~94,81
신규등록자,2021,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,95~99,10
신규등록자,2021,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,100 이상,2
신규등록자,2021,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,0~4,1230
신규등록자,2021,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,5~9,663
신규등록자,2021,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,10~14,633
신규등록자,2021,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,15~19,702
신규등록자,2021,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,20~24,1021
신규등록자,2021,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,25~29,1295
신규등록자,2021,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,30~34,1327
신규등록자,2021,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,35~39,1389
신규등록자,2021,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,40~44,1590
신규등록자,2021,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,45~49,1855
신규등록자,2021,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,50~54,2209
신규등록자,2021,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,55~59,2278
신규등록자,2021,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,60~64,2595
신규등록자,2021,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,65~69,2254
신규등록자,2021,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,70~74,1726
신규등록자,2021,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,75~79,1495
신규등록자,2021,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,80~84,1194
신규등록자,2021,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,85~89,559
신규등록자,2021,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,90~94,159
신규등록자,2021,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,95~99,23
신규등록자,2021,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),여,100 이상,2
신규등록자,2022,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,0~4,1363
신규등록자,2022,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,5~9,711
신규등록자,2022,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,10~14,890
신규등록자,2022,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,15~19,1215
신규등록자,2022,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,20~24,1334
신규등록자,2022,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,25~29,1382
신규등록자,2022,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,30~34,1274
신규등록자,2022,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,35~39,1192
신규등록자,2022,희귀질환(극희귀질환·기타염색체이상질환·상세불명희귀질환 포함),남,40~44,1223
